Date,Region,Cases
2020-05-08,Toronto,5
2020-05-08,Central,72
2020-05-08,Eastern,0
2020-05-08,Western,0
2020-05-08,Northern,0
2020-05-11,Toronto,5
2020-05-11,Central,72
2020-05-11,Eastern,0
2020-05-11,Western,0
2020-05-11,Northern,0
2020-05-12,Toronto,5
2020-05-12,Central,72
2020-05-12,Eastern,0
2020-05-12,Western,0
2020-05-12,Northern,0
2020-05-13,Toronto,6
2020-05-13,Central,76
2020-05-13,Eastern,0
2020-05-13,Western,0
2020-05-13,Northern,0
2020-05-14,Toronto,6
2020-05-14,Central,76
2020-05-14,Eastern,0
2020-05-14,Western,0
2020-05-14,Northern,0
2020-05-15,Toronto,6
2020-05-15,Central,77
2020-05-15,Eastern,0
2020-05-15,Western,0
2020-05-15,Northern,0
2020-05-19,Toronto,6
2020-05-19,Central,79
2020-05-19,Eastern,1
2020-05-19,Western,0
2020-05-19,Northern,0
2020-05-20,Toronto,6
2020-05-20,Central,6
2020-05-20,Eastern,1
2020-05-20,Western,0
2020-05-20,Northern,0
2020-05-21,Toronto,7
2020-05-21,Central,8
2020-05-21,Eastern,1
2020-05-21,Western,0
2020-05-21,Northern,0
2020-05-22,Toronto,3
2020-05-22,Central,8
2020-05-22,Eastern,1
2020-05-22,Western,0
2020-05-22,Northern,0
2020-05-25,Toronto,3
2020-05-25,Central,7
2020-05-25,Eastern,1
2020-05-25,Western,0
2020-05-25,Northern,0
2020-05-26,Toronto,2
2020-05-26,Central,6
2020-05-26,Eastern,1
2020-05-26,Western,0
2020-05-26,Northern,0
2020-05-27,Toronto,2
2020-05-27,Central,6
2020-05-27,Eastern,1
2020-05-27,Western,0
2020-05-27,Northern,0
2020-05-28,Toronto,2
2020-05-28,Central,6
2020-05-28,Eastern,1
2020-05-28,Western,0
2020-05-28,Northern,0
2020-05-29,Toronto,2
2020-05-29,Central,5
2020-05-29,Eastern,1
2020-05-29,Western,0
2020-05-29,Northern,0
2020-06-01,Toronto,3
2020-06-01,Central,5
2020-06-01,Eastern,1
2020-06-01,Western,0
2020-06-01,Northern,0
2020-06-02,Toronto,3
2020-06-02,Central,3
2020-06-02,Eastern,1
2020-06-02,Western,0
2020-06-02,Northern,0
2020-06-03,Toronto,2
2020-06-03,Central,1
2020-06-03,Eastern,1
2020-06-03,Western,0
2020-06-03,Northern,0
2020-06-04,Toronto,1
2020-06-04,Central,1
2020-06-04,Eastern,1
2020-06-04,Western,0
2020-06-04,Northern,0
2020-06-07,Toronto,1
2020-06-07,Central,1
2020-06-07,Eastern,0
2020-06-07,Western,0
2020-06-07,Northern,2
2020-06-08,Toronto,2
2020-06-08,Central,1
2020-06-08,Eastern,0
2020-06-08,Western,0
2020-06-08,Northern,2
2020-06-09,Toronto,2
2020-06-09,Central,2
2020-06-09,Eastern,0
2020-06-09,Western,0
2020-06-09,Northern,2
2020-06-10,Toronto,2
2020-06-10,Central,2
2020-06-10,Eastern,0
2020-06-10,Western,0
2020-06-10,Northern,2
2020-06-11,Toronto,2
2020-06-11,Central,2
2020-06-11,Eastern,0
2020-06-11,Western,0
2020-06-11,Northern,2
2020-06-12,Toronto,1
2020-06-12,Central,2
2020-06-12,Eastern,0
2020-06-12,Western,0
2020-06-12,Northern,2
2020-06-15,Toronto,2
2020-06-15,Central,2
2020-06-15,Eastern,0
2020-06-15,Western,0
2020-06-15,Northern,2
2020-06-16,Toronto,0
2020-06-16,Central,1
2020-06-16,Eastern,0
2020-06-16,Western,0
2020-06-16,Northern,2
2020-06-17,Toronto,0
2020-06-17,Central,1
2020-06-17,Eastern,0
2020-06-17,Western,0
2020-06-17,Northern,0
2020-06-18,Toronto,0
2020-06-18,Central,1
2020-06-18,Eastern,0
2020-06-18,Western,0
2020-06-18,Northern,0
2020-06-21,Toronto,0
2020-06-21,Central,1
2020-06-21,Eastern,0
2020-06-21,Western,0
2020-06-21,Northern,0
2020-06-22,Toronto,1
2020-06-22,Central,0
2020-06-22,Eastern,0
2020-06-22,Western,0
2020-06-22,Northern,0
2020-06-23,Toronto,1
2020-06-23,Central,0
2020-06-23,Eastern,0
2020-06-23,Western,0
2020-06-23,Northern,0
2020-06-24,Toronto,1
2020-06-24,Central,0
2020-06-24,Eastern,0
2020-06-24,Western,0
2020-06-24,Northern,0
2020-06-25,Toronto,1
2020-06-25,Central,0
2020-06-25,Eastern,0
2020-06-25,Western,0
2020-06-25,Northern,0
2020-06-28,Toronto,2
2020-06-28,Central,0
2020-06-28,Eastern,0
2020-06-28,Western,0
2020-06-28,Northern,0
2020-06-29,Toronto,1
2020-06-29,Central,0
2020-06-29,Eastern,0
2020-06-29,Western,0
2020-06-29,Northern,0
2020-07-01,Toronto,2
2020-07-01,Central,0
2020-07-01,Eastern,0
2020-07-01,Western,0
2020-07-01,Northern,0
2020-07-02,Toronto,2
2020-07-02,Central,0
2020-07-02,Eastern,0
2020-07-02,Western,0
2020-07-02,Northern,0
2020-07-05,Toronto,3
2020-07-05,Central,1
2020-07-05,Eastern,0
2020-07-05,Western,0
2020-07-05,Northern,0
2020-07-06,Toronto,3
2020-07-06,Central,1
2020-07-06,Eastern,0
2020-07-06,Western,0
2020-07-06,Northern,0
2020-07-07,Toronto,2
2020-07-07,Central,1
2020-07-07,Eastern,0
2020-07-07,Western,0
2020-07-07,Northern,0
2020-07-08,Toronto,2
2020-07-08,Central,1
2020-07-08,Eastern,0
2020-07-08,Western,0
2020-07-08,Northern,0
2020-07-09,Toronto,3
2020-07-09,Central,1
2020-07-09,Eastern,0
2020-07-09,Western,0
2020-07-09,Northern,0
2020-07-12,Toronto,2
2020-07-12,Central,1
2020-07-12,Eastern,0
2020-07-12,Western,0
2020-07-12,Northern,0
2020-07-13,Toronto,2
2020-07-13,Central,1
2020-07-13,Eastern,0
2020-07-13,Western,0
2020-07-13,Northern,0
2020-07-14,Toronto,2
2020-07-14,Central,1
2020-07-14,Eastern,0
2020-07-14,Western,0
2020-07-14,Northern,0
2020-07-15,Toronto,2
2020-07-15,Central,1
2020-07-15,Eastern,0
2020-07-15,Western,0
2020-07-15,Northern,0
2020-07-16,Toronto,2
2020-07-16,Central,1
2020-07-16,Eastern,0
2020-07-16,Western,0
2020-07-16,Northern,0
2020-07-19,Toronto,2
2020-07-19,Central,0
2020-07-19,Eastern,0
2020-07-19,Western,0
2020-07-19,Northern,0
2020-07-20,Toronto,1
2020-07-20,Central,0
2020-07-20,Eastern,0
2020-07-20,Western,0
2020-07-20,Northern,0
2020-07-21,Toronto,1
2020-07-21,Central,0
2020-07-21,Eastern,0
2020-07-21,Western,0
2020-07-21,Northern,0
2020-07-22,Toronto,1
2020-07-22,Central,0
2020-07-22,Eastern,0
2020-07-22,Western,0
2020-07-22,Northern,0
2020-07-23,Toronto,1
2020-07-23,Central,0
2020-07-23,Eastern,0
2020-07-23,Western,0
2020-07-23,Northern,0
2020-07-26,Toronto,1
2020-07-26,Central,0
2020-07-26,Eastern,0
2020-07-26,Western,0
2020-07-26,Northern,0
2020-07-27,Toronto,1
2020-07-27,Central,0
2020-07-27,Eastern,0
2020-07-27,Western,0
2020-07-27,Northern,0
2020-07-28,Toronto,1
2020-07-28,Central,0
2020-07-28,Eastern,0
2020-07-28,Western,0
2020-07-28,Northern,0
2020-07-29,Toronto,1
2020-07-29,Central,0
2020-07-29,Eastern,0
2020-07-29,Western,0
2020-07-29,Northern,0
2020-07-30,Toronto,0
2020-07-30,Central,0
2020-07-30,Eastern,0
2020-07-30,Western,0
2020-07-30,Northern,0
2020-08-03,Toronto,0
2020-08-03,Central,0
2020-08-03,Eastern,0
2020-08-03,Western,0
2020-08-03,Northern,0
2020-08-04,Toronto,0
2020-08-04,Central,0
2020-08-04,Eastern,0
2020-08-04,Western,0
2020-08-04,Northern,0
2020-08-05,Toronto,0
2020-08-05,Central,1
2020-08-05,Eastern,0
2020-08-05,Western,0
2020-08-05,Northern,0
2020-08-06,Toronto,0
2020-08-06,Central,1
2020-08-06,Eastern,0
2020-08-06,Western,0
2020-08-06,Northern,0
2020-08-09,Toronto,0
2020-08-09,Central,1
2020-08-09,Eastern,1
2020-08-09,Western,0
2020-08-09,Northern,0
2020-08-10,Toronto,0
2020-08-10,Central,1
2020-08-10,Eastern,1
2020-08-10,Western,0
2020-08-10,Northern,0
2020-08-11,Toronto,0
2020-08-11,Central,1
2020-08-11,Eastern,0
2020-08-11,Western,0
2020-08-11,Northern,0
2020-08-12,Toronto,0
2020-08-12,Central,1
2020-08-12,Eastern,0
2020-08-12,Western,0
2020-08-12,Northern,0
2020-08-13,Toronto,0
2020-08-13,Central,0
2020-08-13,Eastern,0
2020-08-13,Western,0
2020-08-13,Northern,0
2020-08-16,Toronto,0
2020-08-16,Central,0
2020-08-16,Eastern,0
2020-08-16,Western,0
2020-08-16,Northern,0
2020-08-17,Toronto,0
2020-08-17,Central,0
2020-08-17,Eastern,0
2020-08-17,Western,0
2020-08-17,Northern,0
2020-08-18,Toronto,0
2020-08-18,Central,0
2020-08-18,Eastern,0
2020-08-18,Western,0
2020-08-18,Northern,0
2020-08-19,Toronto,0
2020-08-19,Central,0
2020-08-19,Eastern,0
2020-08-19,Western,0
2020-08-19,Northern,0
2020-08-20,Toronto,0
2020-08-20,Central,0
2020-08-20,Eastern,0
2020-08-20,Western,0
2020-08-20,Northern,0
2020-08-23,Toronto,1
2020-08-23,Central,0
2020-08-23,Eastern,0
2020-08-23,Western,0
2020-08-23,Northern,0
2020-08-24,Toronto,1
2020-08-24,Central,0
2020-08-24,Eastern,0
2020-08-24,Western,0
2020-08-24,Northern,0
2020-08-25,Toronto,1
2020-08-25,Central,0
2020-08-25,Eastern,0
2020-08-25,Western,0
2020-08-25,Northern,0
2020-08-26,Toronto,1
2020-08-26,Central,0
2020-08-26,Eastern,0
2020-08-26,Western,0
2020-08-26,Northern,0
2020-08-27,Toronto,1
2020-08-27,Central,0
2020-08-27,Eastern,0
2020-08-27,Western,0
2020-08-27,Northern,0
2020-08-30,Toronto,1
2020-08-30,Central,0
2020-08-30,Eastern,0
2020-08-30,Western,0
2020-08-30,Northern,0
2020-08-31,Toronto,2
2020-08-31,Central,0
2020-08-31,Eastern,0
2020-08-31,Western,0
2020-08-31,Northern,0
2020-09-01,Toronto,2
2020-09-01,Central,0
2020-09-01,Eastern,0
2020-09-01,Western,0
2020-09-01,Northern,0
2020-09-02,Toronto,2
2020-09-02,Central,0
2020-09-02,Eastern,0
2020-09-02,Western,0
2020-09-02,Northern,0
2020-09-03,Toronto,2
2020-09-03,Central,0
2020-09-03,Eastern,0
2020-09-03,Western,0
2020-09-03,Northern,0
2020-09-07,Toronto,0
2020-09-07,Central,0
2020-09-07,Eastern,0
2020-09-07,Western,0
2020-09-07,Northern,0
2020-09-08,Toronto,0
2020-09-08,Central,0
2020-09-08,Eastern,0
2020-09-08,Western,0
2020-09-08,Northern,0
2020-09-09,Toronto,0
2020-09-09,Central,0
2020-09-09,Eastern,0
2020-09-09,Western,0
2020-09-09,Northern,0
2020-09-10,Toronto,0
2020-09-10,Central,0
2020-09-10,Eastern,0
2020-09-10,Western,0
2020-09-10,Northern,0
2020-09-13,Toronto,1
2020-09-13,Central,0
2020-09-13,Eastern,0
2020-09-13,Western,0
2020-09-13,Northern,0
2020-09-14,Toronto,1
2020-09-14,Central,0
2020-09-14,Eastern,0
2020-09-14,Western,0
2020-09-14,Northern,0
2020-09-15,Toronto,1
2020-09-15,Central,0
2020-09-15,Eastern,0
2020-09-15,Western,0
2020-09-15,Northern,0
2020-09-16,Toronto,1
2020-09-16,Central,1
2020-09-16,Eastern,0
2020-09-16,Western,0
2020-09-16,Northern,0
2020-09-17,Toronto,1
2020-09-17,Central,1
2020-09-17,Eastern,0
2020-09-17,Western,0
2020-09-17,Northern,0
2020-09-20,Toronto,1
2020-09-20,Central,0
2020-09-20,Eastern,0
2020-09-20,Western,0
2020-09-20,Northern,0
2020-09-21,Toronto,1
2020-09-21,Central,0
2020-09-21,Eastern,0
2020-09-21,Western,0
2020-09-21,Northern,0
2020-09-22,Toronto,0
2020-09-22,Central,0
2020-09-22,Eastern,0
2020-09-22,Western,0
2020-09-22,Northern,0
2020-09-23,Toronto,0
2020-09-23,Central,0
2020-09-23,Eastern,0
2020-09-23,Western,0
2020-09-23,Northern,0
2020-09-24,Toronto,0
2020-09-24,Central,0
2020-09-24,Eastern,0
2020-09-24,Western,0
2020-09-24,Northern,0
2020-09-27,Toronto,1
2020-09-27,Central,0
2020-09-27,Eastern,0
2020-09-27,Western,0
2020-09-27,Northern,0
2020-09-28,Toronto,1
2020-09-28,Central,0
2020-09-28,Eastern,0
2020-09-28,Western,0
2020-09-28,Northern,0
2020-09-29,Toronto,1
2020-09-29,Central,0
2020-09-29,Eastern,0
2020-09-29,Western,0
2020-09-29,Northern,0
2020-09-30,Toronto,1
2020-09-30,Central,0
2020-09-30,Eastern,0
2020-09-30,Western,0
2020-09-30,Northern,0
2020-10-01,Toronto,1
2020-10-01,Central,0
2020-10-01,Eastern,0
2020-10-01,Western,0
2020-10-01,Northern,0
2020-10-04,Toronto,2
2020-10-04,Central,0
2020-10-04,Eastern,0
2020-10-04,Western,0
2020-10-04,Northern,0
2020-10-05,Toronto,2
2020-10-05,Central,0
2020-10-05,Eastern,0
2020-10-05,Western,0
2020-10-05,Northern,0
2020-10-06,Toronto,2
2020-10-06,Central,0
2020-10-06,Eastern,0
2020-10-06,Western,0
2020-10-06,Northern,0
2020-10-07,Toronto,1
2020-10-07,Central,0
2020-10-07,Eastern,0
2020-10-07,Western,0
2020-10-07,Northern,0
2020-10-08,Toronto,0
2020-10-08,Central,0
2020-10-08,Eastern,0
2020-10-08,Western,0
2020-10-08,Northern,0
2020-10-12,Toronto,0
2020-10-12,Central,1
2020-10-12,Eastern,0
2020-10-12,Western,0
2020-10-12,Northern,0
2020-10-13,Toronto,0
2020-10-13,Central,1
2020-10-13,Eastern,0
2020-10-13,Western,0
2020-10-13,Northern,0
2020-10-14,Toronto,1
2020-10-14,Central,1
2020-10-14,Eastern,0
2020-10-14,Western,0
2020-10-14,Northern,0
2020-10-15,Toronto,1
2020-10-15,Central,1
2020-10-15,Eastern,0
2020-10-15,Western,0
2020-10-15,Northern,0
2020-10-18,Toronto,1
2020-10-18,Central,2
2020-10-18,Eastern,0
2020-10-18,Western,0
2020-10-18,Northern,1
2020-10-19,Toronto,1
2020-10-19,Central,2
2020-10-19,Eastern,0
2020-10-19,Western,0
2020-10-19,Northern,1
2020-10-20,Toronto,1
2020-10-20,Central,1
2020-10-20,Eastern,0
2020-10-20,Western,0
2020-10-20,Northern,1
2020-10-21,Toronto,0
2020-10-21,Central,1
2020-10-21,Eastern,0
2020-10-21,Western,0
2020-10-21,Northern,1
2020-10-22,Toronto,0
2020-10-22,Central,1
2020-10-22,Eastern,0
2020-10-22,Western,0
2020-10-22,Northern,1
2020-10-25,Toronto,0
2020-10-25,Central,0
2020-10-25,Eastern,0
2020-10-25,Western,0
2020-10-25,Northern,0
2020-10-26,Toronto,1
2020-10-26,Central,0
2020-10-26,Eastern,0
2020-10-26,Western,0
2020-10-26,Northern,0
2020-10-27,Toronto,1
2020-10-27,Central,0
2020-10-27,Eastern,0
2020-10-27,Western,0
2020-10-27,Northern,0
2020-10-28,Toronto,1
2020-10-28,Central,0
2020-10-28,Eastern,0
2020-10-28,Western,0
2020-10-28,Northern,0
2020-10-29,Toronto,1
2020-10-29,Central,0
2020-10-29,Eastern,0
2020-10-29,Western,0
2020-10-29,Northern,0
2020-11-01,Toronto,0
2020-11-01,Central,0
2020-11-01,Eastern,0
2020-11-01,Western,0
2020-11-01,Northern,0
2020-11-02,Toronto,0
2020-11-02,Central,0
2020-11-02,Eastern,0
2020-11-02,Western,0
2020-11-02,Northern,0
2020-11-03,Toronto,0
2020-11-03,Central,0
2020-11-03,Eastern,0
2020-11-03,Western,0
2020-11-03,Northern,0
2020-11-04,Toronto,0
2020-11-04,Central,1
2020-11-04,Eastern,0
2020-11-04,Western,0
2020-11-04,Northern,0
2020-11-05,Toronto,0
2020-11-05,Central,1
2020-11-05,Eastern,0
2020-11-05,Western,0
2020-11-05,Northern,0
2020-11-08,Toronto,0
2020-11-08,Central,1
2020-11-08,Eastern,0
2020-11-08,Western,0
2020-11-08,Northern,0
2020-11-09,Toronto,0
2020-11-09,Central,1
2020-11-09,Eastern,0
2020-11-09,Western,0
2020-11-09,Northern,0
2020-11-11,Toronto,1
2020-11-11,Central,2
2020-11-11,Eastern,0
2020-11-11,Western,0
2020-11-11,Northern,0
2020-11-12,Toronto,2
2020-11-12,Central,1
2020-11-12,Eastern,0
2020-11-12,Western,0
2020-11-12,Northern,0
2020-11-15,Toronto,2
2020-11-15,Central,1
2020-11-15,Eastern,0
2020-11-15,Western,0
2020-11-15,Northern,0
2020-11-16,Toronto,2
2020-11-16,Central,2
2020-11-16,Eastern,0
2020-11-16,Western,0
2020-11-16,Northern,0
2020-11-17,Toronto,2
2020-11-17,Central,2
2020-11-17,Eastern,0
2020-11-17,Western,0
2020-11-17,Northern,0
2020-11-18,Toronto,1
2020-11-18,Central,2
2020-11-18,Eastern,0
2020-11-18,Western,0
2020-11-18,Northern,0
2020-11-19,Toronto,2
2020-11-19,Central,0
2020-11-19,Eastern,0
2020-11-19,Western,0
2020-11-19,Northern,0
2020-11-22,Toronto,2
2020-11-22,Central,2
2020-11-22,Eastern,0
2020-11-22,Western,0
2020-11-22,Northern,0
2020-11-23,Toronto,2
2020-11-23,Central,1
2020-11-23,Eastern,0
2020-11-23,Western,0
2020-11-23,Northern,0
2020-11-24,Toronto,2
2020-11-24,Central,0
2020-11-24,Eastern,0
2020-11-24,Western,0
2020-11-24,Northern,0
2020-11-25,Toronto,3
2020-11-25,Central,1
2020-11-25,Eastern,0
2020-11-25,Western,0
2020-11-25,Northern,0
2020-11-26,Toronto,3
2020-11-26,Central,1
2020-11-26,Eastern,0
2020-11-26,Western,0
2020-11-26,Northern,0
2020-11-29,Toronto,2
2020-11-29,Central,2
2020-11-29,Eastern,0
2020-11-29,Western,0
2020-11-29,Northern,0
2020-11-30,Toronto,2
2020-11-30,Central,2
2020-11-30,Eastern,0
2020-11-30,Western,0
2020-11-30,Northern,0
2020-12-01,Toronto,2
2020-12-01,Central,3
2020-12-01,Eastern,0
2020-12-01,Western,0
2020-12-01,Northern,0
2020-12-02,Toronto,2
2020-12-02,Central,2
2020-12-02,Eastern,0
2020-12-02,Western,0
