_id,Reported_Date,Region,Institution,Total_Active_Inmate_Cases_As_Of_Reported_Date,Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date,Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date
1,2020-05-08,Central,Hamilton Wentworth Det Centre,1,0,0
2,2020-05-08,Central,Maplehurst Correctional Complex,0,1,1
3,2020-05-08,Central,Ontario Correctional Institute,71,15,2
4,2020-05-08,Central,Milton-Vanier Centre For Women,0,1,0
5,2020-05-08,Eastern,Central East Correctional Centre,0,1,0
6,2020-05-08,Northern,Monteith Correctional Centre,0,1,0
7,2020-05-08,Toronto,Toronto South Detention Centre,5,2,0
8,2020-05-11,Central,Hamilton Wentworth Det Centre,1,0,0
9,2020-05-11,Central,Maplehurst Correctional Complex,0,1,1
10,2020-05-11,Central,Ontario Correctional Institute,71,15,2
11,2020-05-11,Central,Milton-Vanier Centre For Women,0,0,1
12,2020-05-11,Eastern,Central East Correctional Centre,0,0,1
13,2020-05-11,Northern,Monteith Correctional Centre,0,1,0
14,2020-05-11,Toronto,Toronto South Detention Centre,5,2,0
15,2020-05-12,Central,Hamilton Wentworth Det Centre,1,0,0
16,2020-05-12,Central,Maplehurst Correctional Complex,0,1,1
17,2020-05-12,Central,Ontario Correctional Institute,71,15,2
18,2020-05-12,Central,Milton-Vanier Centre For Women,0,0,2
19,2020-05-12,Eastern,Central East Correctional Centre,0,0,1
20,2020-05-12,Northern,Monteith Correctional Centre,0,1,0
21,2020-05-12,Toronto,Toronto South Detention Centre,5,2,0
22,2020-05-13,Central,Hamilton Wentworth Det Centre,1,0,0
23,2020-05-13,Central,Maplehurst Correctional Complex,0,0,1
24,2020-05-13,Central,Ontario Correctional Institute,75,13,2
25,2020-05-13,Central,Milton-Vanier Centre For Women,0,0,2
26,2020-05-13,Eastern,Central East Correctional Centre,0,0,1
27,2020-05-13,Northern,Monteith Correctional Centre,0,1,0
28,2020-05-13,Toronto,Toronto South Detention Centre,6,1,1
29,2020-05-14,Central,Hamilton Wentworth Det Centre,0,1,0
30,2020-05-14,Central,Maplehurst Correctional Complex,1,0,1
31,2020-05-14,Central,Ontario Correctional Institute,75,13,2
32,2020-05-14,Central,Milton-Vanier Centre For Women,0,0,2
33,2020-05-14,Eastern,Central East Correctional Centre,0,0,1
34,2020-05-14,Northern,Monteith Correctional Centre,0,1,0
35,2020-05-14,Toronto,Toronto South Detention Centre,6,1,1
