date,total cases
2020-09-11,0 
 2020-09-14,2 
 2020-09-15,14 
 2020-09-16,12 
 2020-09-17,21 
 2020-09-18,11 
 2020-09-21,18 
 2020-09-22,51 
 2020-09-23,42 
 2020-09-24,31 
 2020-09-25,29 
 2020-09-28,36 
 2020-09-29,63 
 2020-09-30,52 
 2020-10-01,64 
 2020-10-02,36 
 2020-10-05,56 
 2020-10-06,74 
 2020-10-07,111 
 2020-10-08,100 
 2020-10-09,56 
 2020-10-13,72 
 2020-10-14,96 
 2020-10-15,109 
 2020-10-16,98 
 2020-10-19,74 
 2020-10-20,121 
 2020-10-21,144 
 2020-10-22,74 
 2020-10-23,72 
 2020-10-26,72 
 2020-10-27,144 
 2020-10-28,92 
 2020-10-29,99 
 2020-10-30,61 
 2020-11-02,69 
 2020-11-03,134 
 2020-11-04,116 
 2020-11-05,68 
 2020-11-06,85 
 2020-11-09,79 
 2020-11-10,159 
 2020-11-11,198 
 2020-11-12,103 
 2020-11-13,116 
 2020-11-16,106 
 2020-11-17,133 
 2020-11-18,109 
 2020-11-19,91 
 2020-11-20,87 
 2020-11-23,60 
 2020-11-24,270 
 2020-11-25,162 
 2020-11-26,88 
 2020-11-27,122 
 2020-11-30,102 
 2020-12-01,299 
 2020-12-02,166 
 2020-12-03,122 
 2020-12-04,129 
 2020-12-07,138 
 2020-12-08,333 
 2020-12-09,207 
 2020-12-10,139 
 2020-12-11,151 
 2020-12-14,137 
 2020-12-15,319 
 2020-12-16,223 
 2020-12-17,170 
 2020-12-18,133 
 2020-12-21,154  
 2021-01-12,7 
 2021-01-13,1 
 2021-01-14,0 
 2021-01-15,0 
 2021-01-18,0 
 2021-01-19,6 
 2021-01-20,1 
 2021-01-21,2 
 2021-01-22,0 
 2021-01-25,11 
 2021-01-26,12 
 2021-01-27,6 
 2021-01-28,2 
 2021-01-29,1 
 2021-02-01,7 
 2021-02-02,22 
 2021-02-03,15 
 2021-02-04,9 
 2021-02-05,2 
 2021-02-08,3 
 2021-02-09,47 
 2021-02-10,31 
 2021-02-11,29 
 2021-02-12,31 
 2021-02-16,23 
 2021-02-17,75 
 2021-02-18,97 
 2021-02-19,80 
 2021-02-22,55 
 2021-02-23,175 
 2021-02-24,112 
 2021-02-25,83 
 2021-02-26,101 
 2021-03-01,116 
 2021-03-02,262 
 2021-03-03,160 
 2021-03-04,101 
 2021-03-05,96 
 2021-03-08,95 
 2021-03-09,263 
 2021-03-10,194 
 2021-03-11,124 
 2021-03-12,137 
 2021-03-15,110 
 2021-03-16,367 
 2021-03-17,179 
 2021-03-18,119 
 2021-03-19,132 
 2021-03-22,140 
 2021-03-23,409 
 2021-03-24,257 
 2021-03-25,174 
 2021-03-26,167 
 2021-03-29,215
