date,total
 2020-12-24,0 
 2020-12-30,0 
 2020-12-31,0 
 2021-01-01,0 
 2021-01-02,0 
 2021-01-03,0 
 2021-01-04,0 
 2021-01-05,0 
 2021-01-06,430 
 2021-01-07,1087 
 2021-01-08,2027 
 2021-01-09,2940 
 2021-01-10,2942 
 2021-01-11,2942 
 2021-01-12,3023 
 2021-01-13,4389 
 2021-01-14,6647 
 2021-01-15,8547 
 2021-01-16,9667 
 2021-01-17,10857 
 2021-01-18,10876 
 2021-01-19,12805 
 2021-01-20,16181 
 2021-01-21,20113 
 2021-01-22,24646 
 2021-01-23,28954 
 2021-01-24,31441 
 2021-01-25,35628 
 2021-01-26,41643 
 2021-01-27,48230 
 2021-01-28,55286 
 2021-01-29,61679 
 2021-01-30,67787 
 2021-01-31,68849 
 2021-02-01,70293 
 2021-02-02,72057 
 2021-02-03,74994 
 2021-02-04,80977 
 2021-02-05,87831 
 2021-02-06,96573 
 2021-02-07,101744 
 2021-02-08,106163 
 2021-02-09,115529 
 2021-02-10,125725 
 2021-02-11,136988 
 2021-02-12,151282 
 2021-02-13,164307 
 2021-02-14,174643 
 2021-02-15,182137 
 2021-02-16,186934 
 2021-02-17,195366 
 2021-02-18,205802 
 2021-02-19,217715 
 2021-02-20,229151 
 2021-02-21,235922 
 2021-02-22,240669 
 2021-02-23,247042 
 2021-02-24,251590 
 2021-02-25,255449 
 2021-02-26,258014 
 2021-02-27,260972 
 2021-02-28,262103 
 2021-03-01,263214 
 2021-03-02,264896 
 2021-03-03,266710 
 2021-03-04,268118 
 2021-03-05,269063 
 2021-03-06,270625 
 2021-03-07,271807 
 2021-03-08,273676 
 2021-03-09,276193 
 2021-03-10,279204 
 2021-03-11,281714 
 2021-03-12,282748 
 2021-03-13,284686 
 2021-03-14,285615 
 2021-03-15,287283 
 2021-03-16,288918 
 2021-03-17,290659 
 2021-03-18,292269 
 2021-03-19,294749 
 2021-03-20,297134 
 2021-03-21,298549 
 2021-03-22,299297 
 2021-03-23,301043 
 2021-03-24,302664 
 2021-03-25,304386 
 2021-03-26,306373 
 2021-03-27,308301 
 2021-03-28,309285 
 2021-03-29,311248 
 2021-03-30,313889 
